date,HBR1,HBR2,HBR3,HBR4,HBR5,HBR6,HBR7,HBR8,HBR9
2013-09-23 00:00:00,0.182,0.154,0.296,NA,0.21,0.218,0.33,0.3,0.37
2013-09-23 00:30:00,0.182,0.139,0.296,NA,0.21,0.218,0.33,0.3,0.37
2013-09-23 01:00:00,0.182,0.139,0.296,NA,0.21,0.218,0.33,0.3,0.37
2013-09-23 01:30:00,0.182,0.139,0.296,NA,0.21,0.218,0.33,0.3,0.37
2013-09-23 02:00:00,0.182,0.139,0.296,NA,0.21,0.203,0.33,0.3,0.37
2013-09-23 02:30:00,0.182,0.139,0.281,NA,0.21,0.203,0.33,0.285,0.355
2013-09-23 03:00:00,0.182,0.139,0.281,NA,0.21,0.203,0.33,0.285,0.355
2013-09-23 03:30:00,0.182,0.139,0.281,NA,0.21,0.203,0.33,0.3,0.355
2013-09-23 04:00:00,0.182,0.139,0.281,NA,0.195,0.203,0.33,0.285,0.355
2013-09-23 04:30:00,0.182,0.139,0.281,NA,0.195,0.203,0.33,0.285,0.355
2013-09-23 05:00:00,0.182,0.139,0.281,NA,0.195,0.203,0.33,0.285,0.355
2013-09-23 05:30:00,0.182,0.139,0.281,NA,0.195,0.203,0.33,0.285,0.355
2013-09-23 06:00:00,0.182,0.139,0.266,NA,0.195,0.203,0.33,0.285,0.34
2013-09-23 06:30:00,0.182,0.139,0.266,NA,0.195,0.203,0.33,0.285,0.34
2013-09-23 07:00:00,0.182,0.139,0.266,NA,0.18,0.203,0.33,0.285,0.34
2013-09-23 07:30:00,0.182,0.139,0.266,NA,0.18,0.203,0.33,0.285,0.34
2013-09-23 08:00:00,0.182,0.139,0.266,NA,0.18,0.203,0.33,0.285,0.34
2013-09-23 08:30:00,0.182,0.139,0.266,NA,0.18,0.203,0.33,0.285,0.34
2013-09-23 09:00:00,0.167,0.139,0.266,NA,0.18,0.203,0.33,0.285,0.34
2013-09-23 09:30:00,0.167,0.139,0.266,NA,0.18,0.203,0.33,0.285,0.34
